STR	SNP_POS	SNP_ID	Trait	PValue	LD
chr17:46142613	chr17:46271268	rs112665297	white matter microstructure measurement	1e-11	0.9368785369237707
chr17:46142613	chr17:46274021	rs2732708	neuroticism measurement	2e-23	0.8263943534579655
chr17:46142613	chr17:46274021	rs2732708	feeling miserable measurement	3e-11	0.8263943534579655
chr17:46142613	chr17:46275856	rs2732703	Alzheimer's disease	6e-09	0.8142138371354101
chr17:46142613	chr17:46277183	rs2261201	irritability measurement	5e-12	0.8257703585440613
chr17:46142613	chr17:46277538	rs2732699	breast carcinoma	1e-10	0.8734032133586502
chr17:46142613	chr17:46278236	rs2696532	guilt measurement	4e-08	0.8305388373183878
chr17:46142613	chr17:46279427	rs2696524	white matter microstructure measurement	5e-11	0.8257703585440616
chr17:46142613	chr17:46279985	rs17665188	mood instability measurement	1e-18	0.8263943534579655
chr17:46142613	chr17:46286563	rs2696500	neuroticism measurement	4e-29	0.8263943534579655
chr17:46142613	chr17:46287283	rs2696497	feeling "fed-up" measurement	2e-15	0.8263943534579655
chr17:46142613	chr17:46291264	rs78625142	childhood onset asthma	2e-08	0.854664223806914
chr17:46193141	chr17:45950000	rs62062797	white matter microstructure measurement	5e-11	0.7091648128377371
chr17:46193141	chr17:45960125	rs17650842	irritability measurement	2e-12	0.7076943916774409
chr17:46193141	chr17:45963741	rs56280951	feeling miserable measurement	8e-13	0.7118469279983441
chr17:46193141	chr17:45974222	rs117124984	daytime rest measurement	3e-13	0.7047315074290808
chr17:46193141	chr17:45974223	rs118087478	brain volume measurement	8e-14	0.7045393358117008
chr17:46193141	chr17:45979401	rs1981997	interstitial lung disease	9e-14	0.7045393358117008
chr17:46193141	chr17:45983657	rs62063786	hemoglobin measurement	1e-61	0.701654910213784
chr17:46193141	chr17:45988374	rs919462	androgenetic alopecia	1e-26	0.701654910213784
chr17:46193141	chr17:45988806	rs112385572	Alopecia	8e-29	0.701654910213784
chr17:46193141	chr17:46049307	rs112333322	mood instability measurement	4e-19	0.7118469279983441
chr17:46193141	chr17:46064966	rs193236081	neuroticism measurement	6e-11	0.7118469279983441
chr17:46193141	chr17:46072786	rs974295	household income	3e-11	0.7118469279983441
chr17:46193141	chr17:46084104	rs80028338	white matter microstructure measurement	4e-08	0.7118469279983441
chr17:46193141	chr17:46110126	rs17577094	Parkinson's disease	8e-09	0.7118469279983441
chr17:46193141	chr17:46112492	rs76640332	lymphocyte percentage of leukocytes	5e-13	0.7103742514394612
chr17:46193141	chr17:46115224	rs35524223	forced expiratory volume	1e-13	0.7035540026568997
chr17:46193141	chr17:46115224	rs35524223	vital capacity	7e-13	0.7035540026568997
chr17:46193141	chr17:46115252	rs4606752	reticulocyte count	1e-17	0.7103742514394569
chr17:46193141	chr17:46115591	rs17661015	feeling emotionally hurt measurement	3e-28	0.7064847048325755
chr17:46193141	chr17:46115591	rs17661015	irritability measurement	4e-12	0.7064847048325755
chr17:46193141	chr17:46130566	rs79301522	neuroticism measurement	1e-30	0.7091648128377404
chr17:46193141	chr17:46137522	rs2077551	idiopathic pulmonary fibrosis	3e-16	0.7392779061811691
chr17:46193141	chr17:46144470	rs2696589	neuroticism measurement	3e-25	0.7307140755921738
chr17:46193141	chr17:46150027	rs2696579	mean corpuscular volume	2e-09	0.7101230657923585
chr17:46193141	chr17:46150027	rs2696579	mean corpuscular hemoglobin	5e-10	0.7101230657923585
chr17:46193141	chr17:46171403	rs1881193	mood instability measurement	1e-18	0.7086648719283388
chr17:46193141	chr17:46192180	rs2732596	household income	5e-11	0.711586804882813
chr17:46193141	chr17:46206691	rs548785130	worry measurement	6e-10	0.7011694692168408
chr17:46193141	chr17:46206691	rs548785130	white matter microstructure measurement	6e-12	0.7011694692168408
chr17:46193141	chr17:46208165	rs2469933	alcohol consumption measurement	2e-22	0.7128391097138089
chr17:46193141	chr17:46211866	rs2732631	macula measurement	3e-35	0.7130561208891886
chr17:46193141	chr17:46240818	rs2696668	feeling emotionally hurt measurement	1e-26	0.7101230657923577
chr17:46193141	chr17:46247206	rs555203107	red blood cell distribution width	8e-28	0.7070293983662236
chr17:46193141	chr17:46249498	rs2696625	physical activity measurement	3e-12	0.7057649943175794
chr17:46193141	chr17:46261328	rs550530305	white matter microstructure measurement	2e-08	0.7029239052185812
chr17:46193141	chr17:46262107	rs2532349	smoking status measurement, forced expiratory volume	2e-10	0.7088695603244056
chr17:46193141	chr17:46265638	rs2950706	mood instability measurement	7e-20	0.7353688775015628
chr17:46193141	chr17:46267622	rs2732650	loneliness measurement	3e-08	0.7095666164663741
chr17:46193141	chr17:46269852	rs2696557	feeling nervous measurement	3e-15	0.7095666164663741
chr17:46193141	chr17:46274021	rs2732708	neuroticism measurement	2e-23	0.7095666164663741
chr17:46193141	chr17:46274021	rs2732708	feeling miserable measurement	3e-11	0.7095666164663741
chr17:46193141	chr17:46275856	rs2732703	Alzheimer's disease	6e-09	0.7051116522763001
chr17:46193141	chr17:46277183	rs2261201	irritability measurement	5e-12	0.7093201887815728
chr17:46193141	chr17:46278236	rs2696532	guilt measurement	4e-08	0.7113570808075131
chr17:46193141	chr17:46279427	rs2696524	white matter microstructure measurement	5e-11	0.7093201887815728
chr17:46193141	chr17:46279985	rs17665188	mood instability measurement	1e-18	0.7095666164663741
chr17:46193141	chr17:46286563	rs2696500	neuroticism measurement	4e-29	0.7095666164663741
chr17:46193141	chr17:46287283	rs2696497	feeling "fed-up" measurement	2e-15	0.7095666164663741
chr17:46202006	chr17:45960125	rs17650842	irritability measurement	2e-12	0.9711519626816187
chr17:46202006	chr17:45961419	rs62063281	risky sexual behaviour measurement	4e-15	0.8972750410643799
chr17:46202006	chr17:45961419	rs62063281	osteoarthritis, hip	5e-12	0.8972750410643799
chr17:46202006	chr17:45963741	rs56280951	feeling miserable measurement	8e-13	0.9769672788863012
chr17:46202006	chr17:45974222	rs117124984	daytime rest measurement	3e-13	0.9653621636117385
chr17:46202006	chr17:45974223	rs118087478	brain volume measurement	8e-14	0.9672899603718624
chr17:46202006	chr17:45979401	rs1981997	interstitial lung disease	9e-14	0.9672899603718624
chr17:46202006	chr17:45983657	rs62063786	hemoglobin measurement	1e-61	0.9634694022593655
chr17:46202006	chr17:45988374	rs919462	androgenetic alopecia	1e-26	0.9634694022593655
chr17:46202006	chr17:45988806	rs112385572	Alopecia	8e-29	0.9634694022593655
chr17:46202006	chr17:46003698	rs8070723	Progressive supranuclear palsy	2e-118	0.7256087544560635
chr17:46202006	chr17:46003698	rs8070723	Parkinson's disease	7e-12	0.7256087544560635
chr17:46202006	chr17:46003698	rs8070723	waist-hip ratio	4e-15	0.7256087544560635
chr17:46202006	chr17:46006036	rs1991556	alcohol consumption measurement	5e-23	0.9186843735715334
chr17:46202006	chr17:46006036	rs1991556	sleep duration	3e-09	0.9186843735715334
chr17:46202006	chr17:46006036	rs1991556	vital capacity	1e-53	0.9186843735715334
chr17:46202006	chr17:46019187	rs62062288	worry measurement	1e-09	0.9082587227177675
chr17:46202006	chr17:46019187	rs62062288	neuroticism measurement	6e-32	0.9082587227177675
chr17:46202006	chr17:46019187	rs62062288	guilt measurement	7e-10	0.9082587227177675
chr17:46202006	chr17:46019187	rs62062288	risk-taking behaviour	1e-29	0.9082587227177675
chr17:46202006	chr17:46019187	rs62062288	neurotic disorder	7e-22	0.9082587227177675
chr17:46202006	chr17:46019187	rs62062288	alcohol use disorder measurement	5e-10	0.9082587227177675
chr17:46202006	chr17:46019187	rs62062288	alcohol consumption measurement	2e-09	0.9082587227177675
chr17:46202006	chr17:46021601	rs17652520	neuroticism measurement	2e-27	0.9391088760744899
chr17:46202006	chr17:46021601	rs17652520	household income	5e-12	0.9391088760744899
chr17:46202006	chr17:46021601	rs17652520	Anilide use measurement	8e-13	0.9391088760744899
chr17:46202006	chr17:46049307	rs112333322	mood instability measurement	4e-19	0.9769672788863012
chr17:46202006	chr17:46049399	rs113434679	Parkinson's disease	9e-13	0.8176658985571927
chr17:46202006	chr17:46049399	rs113434679	neuroticism measurement	3e-21	0.8176658985571927
chr17:46202006	chr17:46064966	rs193236081	neuroticism measurement	6e-11	0.9769672788863012
chr17:46202006	chr17:46072786	rs974295	household income	3e-11	0.9769672788863012
chr17:46202006	chr17:46084104	rs80028338	white matter microstructure measurement	4e-08	0.9769672788863012
chr17:46202006	chr17:46110126	rs17577094	Parkinson's disease	8e-09	0.9769672788863012
chr17:46202006	chr17:46112492	rs76640332	lymphocyte percentage of leukocytes	5e-13	0.9750172616629367
chr17:46202006	chr17:46115202	rs4630591	feeling "fed-up" measurement	1e-17	0.8242266033260234
chr17:46202006	chr17:46115224	rs35524223	forced expiratory volume	1e-13	0.9692299945154117
chr17:46202006	chr17:46115224	rs35524223	vital capacity	7e-13	0.9692299945154117
chr17:46202006	chr17:46115252	rs4606752	reticulocyte count	1e-17	0.9750172616629342
chr17:46202006	chr17:46115557	rs17577369	feeling miserable measurement	4e-12	0.9304645167972854
chr17:46202006	chr17:46115591	rs17661015	feeling emotionally hurt measurement	3e-28	0.9731232583908219
chr17:46202006	chr17:46115591	rs17661015	irritability measurement	4e-12	0.9731232583908219
chr17:46202006	chr17:46128324	rs4471723	guilt measurement	5e-09	0.9543218253062856
chr17:46202006	chr17:46130566	rs79301522	neuroticism measurement	1e-30	0.9750449525987954
chr17:46202006	chr17:46137522	rs2077551	idiopathic pulmonary fibrosis	3e-16	0.9104314171201687
chr17:46202006	chr17:46144470	rs2696589	neuroticism measurement	3e-25	0.9089798995641827
chr17:46202006	chr17:46150027	rs2696579	mean corpuscular volume	2e-09	0.9769216562126288
chr17:46202006	chr17:46150027	rs2696579	mean corpuscular hemoglobin	5e-10	0.9769216562126288
chr17:46202006	chr17:46171403	rs1881193	mood instability measurement	1e-18	0.9749864631144021
chr17:46202006	chr17:46171471	rs35643216	hemoglobin measurement	2e-56	0.8570871716808406
chr17:46202006	chr17:46175102	rs2532263	breast carcinoma	7e-13	0.8829656101054884
chr17:46202006	chr17:46175102	rs2532263	neuroticism measurement	4e-20	0.8829656101054884
chr17:46202006	chr17:46192180	rs2732596	household income	5e-11	0.9788640978670633
chr17:46202006	chr17:46206691	rs548785130	worry measurement	6e-10	0.9617370475021538
chr17:46202006	chr17:46206691	rs548785130	white matter microstructure measurement	6e-12	0.9617370475021538
chr17:46202006	chr17:46208165	rs2469933	alcohol consumption measurement	2e-22	0.9788465335714016
chr17:46202006	chr17:46211866	rs2732631	macula measurement	3e-35	0.9808138288729912
chr17:46202006	chr17:46240818	rs2696668	feeling emotionally hurt measurement	1e-26	0.9769216562126286
chr17:46202006	chr17:46245594	rs2668637	neuroticism measurement	2e-10	0.8970937369279361
chr17:46202006	chr17:46247206	rs555203107	red blood cell distribution width	8e-28	0.9673180628874685
chr17:46202006	chr17:46249498	rs2696625	physical activity measurement	3e-12	0.9672997322130468
chr17:46202006	chr17:46258269	rs147431626	white matter microstructure measurement	4e-13	0.93226100544668
chr17:46202006	chr17:46261328	rs550530305	white matter microstructure measurement	2e-08	0.9673180628874709
chr17:46202006	chr17:46261417	rs34081316	white matter microstructure measurement	4e-11	0.8599541672206207
chr17:46202006	chr17:46262107	rs2532349	smoking status measurement, forced expiratory volume	2e-10	0.9730729199721714
chr17:46202006	chr17:46265638	rs2950706	mood instability measurement	7e-20	0.9000505511809127
chr17:46202006	chr17:46267622	rs2732650	loneliness measurement	3e-08	0.9654938217588116
chr17:46202006	chr17:46269041	rs2732655	white matter microstructure measurement	1e-08	0.8683574493874608
chr17:46202006	chr17:46269852	rs2696557	feeling nervous measurement	3e-15	0.9654938217588116
chr17:46202006	chr17:46271268	rs112665297	white matter microstructure measurement	1e-11	0.8683574493874608
chr17:46202006	chr17:46274021	rs2732708	neuroticism measurement	2e-23	0.9654938217588116
chr17:46202006	chr17:46274021	rs2732708	feeling miserable measurement	3e-11	0.9654938217588116
chr17:46202006	chr17:46275856	rs2732703	Alzheimer's disease	6e-09	0.8692436786409711
chr17:46202006	chr17:46277183	rs2261201	irritability measurement	5e-12	0.9673770811713776
chr17:46202006	chr17:46277538	rs2732699	breast carcinoma	1e-10	0.7898426687120138
chr17:46202006	chr17:46278236	rs2696532	guilt measurement	4e-08	0.9543649636038103
chr17:46202006	chr17:46279427	rs2696524	white matter microstructure measurement	5e-11	0.9634959116868583
chr17:46202006	chr17:46279985	rs17665188	mood instability measurement	1e-18	0.9654938217588116
chr17:46202006	chr17:46286563	rs2696500	neuroticism measurement	4e-29	0.9654938217588116
chr17:46202006	chr17:46287283	rs2696497	feeling "fed-up" measurement	2e-15	0.9654938217588116
chr17:46202006	chr17:46291264	rs78625142	childhood onset asthma	2e-08	0.7882622556599799
chr17:46957614	chr17:46931204	rs197922	hemoglobin measurement	2e-12	0.8071997536924236
chr17:46957614	chr17:46931569	rs1838105	Cleft palate, cleft lip	1e-11	0.7203517086009105
chr17:47809887	chr17:47810885	rs2074188	body fat distribution	4e-11	0.7755061490020159
chr17:48092453	chr17:48093737	rs2109984	heel bone mineral density	1e-10	0.99126281274624
chr17:48092453	chr17:48120393	rs10775406	triglyceride measurement	2e-18	0.838857352863269
chr17:48092453	chr17:48213013	rs2325885	pulse pressure measurement	7e-18	0.949608272267431
chr17:48059694	chr17:48174984	rs208015	body mass index	7e-26	0.736110385041658
chr17:48059694	chr17:48193244	rs113866544	visceral adipose tissue measurement	1e-13	0.7365824854114505
chr17:48059694	chr17:48193244	rs113866544	body mass index	1e-20	0.7365824854114505
chr17:48098261	chr17:48174984	rs208015	body mass index	7e-26	0.7102756987005968
chr17:48098261	chr17:48193244	rs113866544	visceral adipose tissue measurement	1e-13	0.7107276663051396
chr17:48098261	chr17:48193244	rs113866544	body mass index	1e-20	0.7107276663051396
chr17:48165380	chr17:48174984	rs208015	body mass index	7e-26	0.7618177799284368
chr17:48165380	chr17:48193244	rs113866544	visceral adipose tissue measurement	1e-13	0.7618177799284368
chr17:48165380	chr17:48193244	rs113866544	body mass index	1e-20	0.7618177799284368
chr17:48186455	chr17:48213013	rs2325885	pulse pressure measurement	7e-18	0.7264352855353774
chr17:48289774	chr17:48262165	rs8080031	adolescent idiopathic scoliosis	2e-41	0.9147145949432347
chr17:48299571	chr17:48262165	rs8080031	adolescent idiopathic scoliosis	2e-41	0.8259707236138532
chr17:48375797	chr17:48262165	rs8080031	adolescent idiopathic scoliosis	2e-41	0.9285893992932553
chr17:49330455	chr17:49312652	rs2072153	body height	4e-08	0.8840235937896394
chr17:49330455	chr17:49312652	rs2072153	mean corpuscular hemoglobin	3e-09	0.8840235937896394
chr17:49346551	chr17:49340816	rs35587648	body height	7e-42	0.99324665658805
chr17:49417236	chr17:49405591	rs2898883	autism spectrum disorder, behavior or behavioral disorder measurement	2e-08	0.859664954176604
chr17:49417236	chr17:49411461	rs55714120	leukocyte count	5e-09	0.8422289511964225
chr17:49417236	chr17:49411461	rs55714120	systolic blood pressure	5e-12	0.8422289511964225
chr17:49417236	chr17:49412740	rs7502499	coronary artery disease	1e-12	0.8992822942087808
chr17:49921318	chr17:49929565	rs9896363	balding measurement	8e-13	0.9651217138105462
chr17:50169415	chr17:50168801	rs16948744	heel bone mineral density	3e-10	0.7117618464728057
chr17:50997140	chr17:50977078	rs9332407	heel bone mineral density	3e-12	0.7218999594372909
chr17:51000756	chr17:50977078	rs9332407	heel bone mineral density	3e-12	0.7446749420215149
chr17:51022944	chr17:50977078	rs9332407	heel bone mineral density	3e-12	0.837433558445882
chr17:51059772	chr17:50977078	rs9332407	heel bone mineral density	3e-12	0.7643808956879539
chr17:54983608	chr17:55025006	rs78781855	aging	6e-09	0.8671203324333163
chr17:54983608	chr17:55026237	rs7211469	erythrocyte count	2e-13	0.8675532590468304
chr17:54983608	chr17:55031815	rs62078811	aging	1e-08	0.8688655545079236
chr17:55182798	chr17:55193459	rs9904768	mean corpuscular hemoglobin	5e-13	0.7444584372545181
chr17:57470277	chr17:57470334	rs2586222	body mass index	2e-08	0.9919937965099989
chr17:58559642	chr17:58385422	rs7211294	refractive error measurement	5e-11	0.8216622639566038
chr17:58623182	chr17:58385422	rs7211294	refractive error measurement	5e-11	0.7526328802775583
chr17:58832811	chr17:58875786	rs9911578	intelligence	4e-10	0.9909928321899854
chr17:58832811	chr17:58922066	rs66954617	intelligence	2e-13	0.9842735587021665
chr17:58832811	chr17:59017851	rs74370218	intelligence	2e-14	0.8647154328226646
chr17:58832811	chr17:59017851	rs74370218	cognitive function measurement	1e-09	0.8647154328226646
chr17:59904069	chr17:59798193	rs2645492	low density lipoprotein cholesterol measurement	2e-08	0.7330225630168209
chr17:59904069	chr17:59865224	rs2526358	red blood cell distribution width	5e-35	0.9020630342178612
chr17:59904069	chr17:59865224	rs2526358	erythrocyte count	5e-14	0.9020630342178612
chr17:59904069	chr17:59873259	rs201184664	red blood cell distribution width	1e-13	0.9012243747048881
chr17:59904069	chr17:59880527	rs1292059	eosinophil percentage of granulocytes	2e-09	0.8869787719963446
chr17:59904069	chr17:59912196	rs1292035	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	3e-11	0.9561512802028599
chr17:59904069	chr17:59946963	rs1051424	triglyceride measurement	1e-09	0.9145761859514903
chr17:62639343	chr17:62490590	rs35127411	mathematical ability	1e-16	0.7675126232573894
chr17:62639343	chr17:62519936	rs737037	mathematical ability	2e-14	0.7700291839272774
chr17:62639343	chr17:62657303	rs2465410	mathematical ability	3e-08	0.9594075372490246
chr17:62606288	chr17:62516455	rs12949468	longevity	5e-20	0.9794899709258348
chr17:62641896	chr17:62657303	rs2465410	mathematical ability	3e-08	0.8242607900670014
chr17:63373989	chr17:63313753	rs72841368	chronotype measurement	2e-11	0.8705252034744975
chr17:63373989	chr17:63446864	rs75195552	anxiety	7e-09	0.8796085892407691
chr17:63749395	chr17:63816038	rs7223966	BMI-adjusted hip circumference	2e-13	0.7250429998869018
chr17:63749395	chr17:63889105	rs2665838	body height	5e-25	0.7415746705400492
chr17:64308250	chr17:64304354	rs6504213	pulse pressure measurement	3e-08	0.7828312589112939
chr17:64308250	chr17:64304354	rs6504213	systolic blood pressure	1e-22	0.7828312589112939
chr17:65385321	chr17:65361202	rs1558344	mathematical ability	2e-09	0.7101868588579094
chr17:65385321	chr17:65361699	rs2159544	mathematical ability	3e-09	0.7115737552681392
chr17:67518648	chr17:67517672	rs36084697	DNA methylation	5e-09	0.93278407072189
chr17:70057150	chr17:70074393	rs1990197	BMI-adjusted waist circumference	5e-08	0.7362253994832659
chr17:70231667	chr17:70230735	rs236541	BMI-adjusted waist circumference	1e-09	0.7319956264725845
chr17:70784239	chr17:70828881	rs12948233	heel bone mineral density	6e-10	0.8042407057111347
chr17:71890979	chr17:71902074	rs8069036	heel bone mineral density	6e-26	0.7920958936297906
chr17:73205164	chr17:73199810	rs1009110	erythrocyte count	9e-09	0.8283255887957012
chr17:74507044	chr17:74524459	rs708601	blood protein measurement	5e-31	0.9568124162217514
chr17:75198346	chr17:75234761	rs9988	waist-hip ratio	2e-10	0.79593952806968
chr17:75978083	chr17:75973754	rs3744032	chronic kidney disease, urinary metabolite measurement	2e-28	0.7777446519140834
chr17:76242901	chr17:76212772	rs72868727	BMI-adjusted waist-hip ratio	4e-18	0.8763309765726655
chr17:76242901	chr17:76258948	rs8079062	BMI-adjusted waist-hip ratio	1e-17	0.9684124628210208
chr17:76242901	chr17:76258948	rs8079062	waist-hip ratio	2e-12	0.9684124628210208
chr17:76264070	chr17:76212772	rs72868727	BMI-adjusted waist-hip ratio	4e-18	0.8652940968681829
chr17:76264070	chr17:76258948	rs8079062	BMI-adjusted waist-hip ratio	1e-17	0.970313722822687
chr17:76264070	chr17:76258948	rs8079062	waist-hip ratio	2e-12	0.970313722822687
chr17:76250193	chr17:76258948	rs8079062	BMI-adjusted waist-hip ratio	1e-17	0.7406809883183513
chr17:76250193	chr17:76258948	rs8079062	waist-hip ratio	2e-12	0.7406809883183513
chr17:77917503	chr17:77907369	rs146206119	balding measurement	3e-11	0.8732544956745731
chr17:77917503	chr17:77909699	rs78057054	balding measurement	2e-11	0.8822320298339982
chr17:78410104	chr17:78381401	rs4082919	high density lipoprotein cholesterol measurement	9e-16	0.7519707510460428
chr17:78410104	chr17:78391282	rs11657987	heel bone mineral density	2e-16	0.7808892054696858
chr17:78410104	chr17:78395572	rs4969141	high density lipoprotein cholesterol measurement	3e-54	0.9349626816799638
chr17:78410104	chr17:78396063	rs17561950	erythrocyte count	3e-08	0.9012696672598858
chr17:78410104	chr17:78396063	rs17561950	total cholesterol measurement	5e-13	0.9012696672598858
chr17:78410104	chr17:78396063	rs17561950	low density lipoprotein cholesterol measurement	2e-11	0.9012696672598858
chr17:78410104	chr17:78397291	rs4969183	high density lipoprotein cholesterol measurement	1e-17	0.7938415965787183
chr17:78410104	chr17:78407903	rs4129767	high density lipoprotein cholesterol measurement	4e-17	0.9480582023094751
chr17:79365128	chr17:79365094	rs12949587	metastasis measurement, metastatic colorectal cancer, disease progression measurement	1e-08	0.7762539292438736
chr17:79726138	chr17:79724879	rs35759773	blood protein measurement	1e-300	0.7556232407067514
chr17:79726138	chr17:79732746	rs11871061	blood protein measurement	0.0	0.7335534860207411
chr17:80607600	chr17:80651956	rs8066384	anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, schizophrenia, autism spectrum disorder, bipolar disorder	3e-08	0.8742359651040368
chr17:81817447	chr17:81802956	rs151106468	erythrocyte count	2e-14	0.745010557398298
chr17:82221592	chr17:82218765	rs4239020	body mass index	6e-10	0.9852840604918275
chr17:82323970	chr17:82333776	rs116473040	blood protein measurement	1e-61	0.9092723438670793
chr16:246750	chr16:249924	rs13331259	mean corpuscular volume	3e-38	0.7394404948030361
chr16:246750	chr16:249924	rs13331259	mean corpuscular hemoglobin	9e-44	0.7394404948030361
chr16:246750	chr16:249924	rs13331259	erythrocyte count	5e-08	0.7394404948030361
chr16:246750	chr16:249924	rs13331259	mean corpuscular hemoglobin concentration	5e-08	0.7394404948030361
chr16:246750	chr16:249924	rs13331259	neutrophil count, mean platelet volume, leukocyte count, erythrocyte count, mean corpuscular hemoglobin concentration, mean corpuscular volume, monocyte count, basophil count, platelet count, red blood cell distribution width, eosinophil count	8e-30	0.7394404948030361
chr16:246750	chr16:260006	rs13335497	hemoglobin measurement	5e-48	0.7126961317447804
chr16:246750	chr16:264781	rs9924561	mean corpuscular volume	6e-30	0.7277879478305687
chr16:246750	chr16:264781	rs9924561	mean corpuscular hemoglobin	4e-42	0.7277879478305687
chr16:246750	chr16:264781	rs9924561	mean corpuscular hemoglobin concentration	4e-41	0.7277879478305687
chr16:246750	chr16:264781	rs9924561	hemoglobin measurement	2e-49	0.7277879478305687
chr16:481122	chr16:480967	rs141759085	platelet count	9e-13	0.7371889992880897
chr16:481122	chr16:486090	rs7191868	platelet component distribution width	5e-10	0.9591940710551421
chr16:793085	chr16:789838	rs2277899	mean corpuscular hemoglobin	3e-13	0.8487824969833788
chr16:1995141	chr16:1983940	rs4305019	red blood cell distribution width	1e-13	0.8574335539412778
chr16:3748105	chr16:3741392	rs130017	heel bone mineral density	4e-10	0.7171018612172559
chr16:4069273	chr16:4070075	rs12598529	lymphocyte count	8e-09	0.903295677247282
chr16:4293073	chr16:4293838	rs4785958	BMI-adjusted waist-hip ratio	2e-14	0.7168543908057347
chr16:4330974	chr16:4340872	rs73507245	BMI-adjusted waist-hip ratio	4e-09	0.8632297650754687
chr16:4521088	chr16:4468391	rs4424915	hair colour measurement	5e-08	0.795548590613726
chr16:4702107	chr16:4705107	rs78074706	high density lipoprotein cholesterol measurement	2e-09	0.8064244784286102
chr16:7482470	chr16:7483019	rs4787028	self reported educational attainment	8e-09	0.9103532751096937
chr16:9785593	chr16:9806200	rs7191183	schizophrenia, autism spectrum disorder	2e-09	0.782670148177653
chr16:9785593	chr16:9806200	rs7191183	schizophrenia	6e-09	0.782670148177653
chr16:9792080	chr16:9806200	rs7191183	schizophrenia, autism spectrum disorder	2e-09	0.738964147682035
chr16:9792080	chr16:9806200	rs7191183	schizophrenia	6e-09	0.738964147682035
chr16:10611768	chr16:10612471	rs12149828	FEV/FEC ratio	8e-10	0.7390027426965855
chr16:13268513	chr16:13294921	rs729876	periodontitis	1e-08	0.8100575493010941
chr16:15882528	chr16:15880785	rs72773978	overall survival, multiple myeloma	7e-09	0.7466935837716363
chr16:15885311	chr16:15880785	rs72773978	overall survival, multiple myeloma	7e-09	0.767907894785304
chr16:17829459	chr16:17828634	rs7500242	mathematical ability	1e-08	0.7987609611906786
chr16:20343130	chr16:20356323	rs12922822	glomerular filtration rate, diabetes mellitus	2e-82	0.7219193191407745
chr16:20343130	chr16:20356323	rs12922822	velopharyngeal dysfunction	2e-08	0.7219193191407745
chr16:20343130	chr16:20356368	rs12917707	creatinine measurement, chronic kidney disease	1e-20	0.7200000503396347
chr16:20343130	chr16:20356368	rs12917707	urinary uromodulin measurement	8e-73	0.7200000503396347
chr16:20343130	chr16:20356368	rs12917707	GFR change measurement	2e-17	0.7200000503396347
chr16:20343130	chr16:20356368	rs12917707	renal system measurement	5e-16	0.7200000503396347
chr16:20343130	chr16:20356368	rs12917707	chronic kidney disease	2e-12	0.7200000503396347
chr16:20343130	chr16:20356368	rs12917707	creatinine measurement, glomerular filtration rate, diabetes mellitus	2e-08	0.7200000503396347
chr16:20343130	chr16:20356368	rs12917707	creatinine measurement, glomerular filtration rate	5e-36	0.7200000503396347
chr16:21165858	chr16:21140753	rs79472635	electroencephalogram measurement	5e-08	0.8982948287024894
chr16:22339529	chr16:22323242	rs3803647	body height	2e-10	0.8726670500256166
chr16:23180771	chr16:23177626	rs4967985	heel bone mineral density	8e-18	0.8670177092696909
chr16:23180771	chr16:23189527	rs5735	heel bone mineral density	1e-19	0.7866423626364231
chr16:23608802	chr16:23622705	rs420259	bipolar disorder	9e-09	0.92320573990895
chr16:23760345	chr16:23786191	rs66815895	eosinophil count	1e-09	0.7042342726480759
chr16:23760721	chr16:23786191	rs66815895	eosinophil count	1e-09	0.9093668162572388
chr16:24703036	chr16:24715743	rs7188873	intelligence	2e-09	0.8643281347290125
chr16:24703036	chr16:24715743	rs7188873	self reported educational attainment	5e-14	0.8643281347290125
chr16:24703036	chr16:24715743	rs7188873	metabolic syndrome	1e-08	0.8643281347290125
chr16:24703036	chr16:24715743	rs7188873	smoking status measurement	1e-18	0.8643281347290125
chr16:24703036	chr16:24715743	rs7188873	BMI-adjusted waist circumference	5e-10	0.8643281347290125
chr16:24703036	chr16:24716906	rs12708665	smoking behaviour measurement	4e-09	0.8249592615594964
chr16:24703036	chr16:24716906	rs12708665	smoking cessation	9e-10	0.8249592615594964
chr16:24703036	chr16:24716906	rs12708665	body height	1e-28	0.8249592615594964
chr16:24703036	chr16:24716906	rs12708665	macula measurement	3e-09	0.8249592615594964
chr16:28152075	chr16:28235347	rs9938394	mathematical ability	3e-10	0.7604230276654209
chr16:28152075	chr16:28235347	rs9938394	self reported educational attainment	1e-11	0.7604230276654209
chr16:28224763	chr16:28235347	rs9938394	mathematical ability	3e-10	0.7437624655028483
chr16:28224763	chr16:28235347	rs9938394	self reported educational attainment	1e-11	0.7437624655028483
chr16:28863894	chr16:28814284	rs2008514	physical activity measurement, body mass index	2e-17	0.9713213607482651
chr16:28863894	chr16:28814284	rs2008514	intelligence	1e-24	0.9713213607482651
chr16:28863894	chr16:28814545	rs1987471	caudate nucleus volume	4e-09	0.9713213607482651
chr16:28863894	chr16:28826585	rs8062405	body weight	2e-08	0.9453503864811112
chr16:28863894	chr16:28826585	rs8062405	intelligence, self reported educational attainment	4e-14	0.9453503864811112
chr16:28863894	chr16:28826585	rs8062405	intelligence	2e-09	0.9453503864811112
